<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;200402;123700;182.8000000;182.9000000;182.7200000;182.7700000;18320
GAZP;1;200402;123800;182.7400000;182.8300000;182.6500000;182.8300000;24440
GAZP;1;200402;123900;182.7800000;182.8200000;182.7000000;182.7900000;18500
GAZP;1;200402;124000;182.7900000;182.8300000;182.7000000;182.8000000;17960
GAZP;1;200402;124100;182.7500000;182.8900000;182.7000000;182.8500000;19730
GAZP;1;200402;124200;182.8500000;182.8900000;182.6700000;182.6700000;38340
GAZP;1;200402;124300;182.6700000;182.8300000;182.5300000;182.8200000;41240
GAZP;1;200402;124400;182.8000000;182.8100000;182.6900000;182.7500000;24220
GAZP;1;200402;124500;182.7300000;182.9200000;182.7300000;182.8200000;28570
GAZP;1;200402;124600;182.7800000;182.8900000;182.7300000;182.7600000;22100
GAZP;1;200402;124700;182.7900000;182.8100000;182.6700000;182.7000000;7070
GAZP;1;200402;124800;182.7000000;182.8100000;182.6500000;182.7900000;16230
GAZP;1;200402;124900;182.7900000;182.8800000;182.7700000;182.8400000;24270
GAZP;1;200402;125000;182.8300000;182.9400000;182.8100000;182.8100000;55920
GAZP;1;200402;125100;182.8900000;182.9200000;182.7900000;182.9200000;11410
GAZP;1;200402;125200;182.8400000;182.9200000;182.7300000;182.8000000;22990
GAZP;1;200402;125300;182.7800000;182.9000000;182.7700000;182.8500000;13360
GAZP;1;200402;125400;182.8800000;183.2300000;182.8500000;183.2300000;315490
GAZP;1;200402;125500;183.2000000;183.3000000;183.0400000;183.0700000;193690
GAZP;1;200402;125600;183.0600000;183.2000000;183.0600000;183.1600000;31700
GAZP;1;200402;125700;183.1400000;183.2000000;183.1200000;183.1200000;31650
GAZP;1;200402;125800;183.1500000;183.3900000;183.1200000;183.3300000;178680
GAZP;1;200402;125900;183.3300000;183.3300000;183.1000000;183.1100000;49100
GAZP;1;200402;130000;183.1700000;183.2100000;183.0400000;183.0900000;23840
GAZP;1;200402;130100;183.0400000;183.0900000;182.8400000;183.0200000;159420
GAZP;1;200402;130200;183.0000000;183.0000000;182.7200000;182.8500000;97650
GAZP;1;200402;130300;182.8700000;182.9800000;182.5300000;182.5900000;165870
GAZP;1;200402;130400;182.5900000;182.8900000;182.5500000;182.7700000;121170
GAZP;1;200402;130500;182.7700000;182.8900000;182.7000000;182.8100000;76930
GAZP;1;200402;130600;182.8100000;183.0500000;182.7800000;182.9000000;87590
GAZP;1;200402;130700;182.9000000;182.9400000;182.7600000;182.8000000;10590
GAZP;1;200402;130800;182.8200000;182.8500000;182.6300000;182.7000000;36740
GAZP;1;200402;130900;182.7000000;182.8000000;182.6500000;182.7400000;10410
GAZP;1;200402;131000;182.7400000;182.9300000;182.6700000;182.8900000;210990
GAZP;1;200402;131100;182.8900000;183.1100000;182.8700000;183.0500000;136210
GAZP;1;200402;131200;183.0800000;183.3900000;182.9900000;183.3600000;199320
GAZP;1;200402;131300;183.3600000;183.4400000;183.0900000;183.1700000;75040
GAZP;1;200402;131400;183.2100000;183.2900000;183.1300000;183.1500000;28520
GAZP;1;200402;131500;183.1500000;183.3700000;183.1500000;183.3100000;61070
GAZP;1;200402;131600;183.3500000;183.4000000;183.2000000;183.3100000;64620
GAZP;1;200402;131700;183.3200000;183.7400000;183.2800000;183.6900000;497640
GAZP;1;200402;131800;183.6000000;183.7200000;183.5200000;183.5900000;134460
GAZP;1;200402;131900;183.5900000;183.6000000;183.4400000;183.5100000;183680
GAZP;1;200402;132000;183.5600000;183.6500000;183.4500000;183.6100000;184270
GAZP;1;200402;132100;183.5900000;183.7500000;183.5500000;183.6500000;81990
GAZP;1;200402;132200;183.6400000;183.7100000;183.3700000;183.3700000;117440
GAZP;1;200402;132300;183.3900000;183.4600000;183.3000000;183.3700000;48250
GAZP;1;200402;132400;183.3500000;183.5000000;183.3500000;183.4300000;20050
GAZP;1;200402;132500;183.4500000;183.4500000;183.3000000;183.3700000;41730
GAZP;1;200402;132600;183.3500000;183.5000000;183.3000000;183.4400000;42160
GAZP;1;200402;132700;183.4100000;183.5000000;183.3000000;183.4900000;110920
GAZP;1;200402;132800;183.5000000;183.6300000;183.4300000;183.4700000;122030
GAZP;1;200402;132900;183.4400000;183.5100000;183.3800000;183.4400000;18400
GAZP;1;200402;133000;183.4400000;183.4800000;183.3100000;183.3600000;44300
GAZP;1;200402;133100;183.4100000;183.5000000;183.3600000;183.4000000;29830
GAZP;1;200402;133200;183.4100000;183.4900000;183.4100000;183.4500000;20210
GAZP;1;200402;133300;183.4500000;183.6400000;183.4500000;183.5500000;35460
GAZP;1;200402;133400;183.5500000;183.5600000;183.4400000;183.4500000;55540
GAZP;1;200402;133500;183.5100000;183.5100000;183.4200000;183.4200000;10290
GAZP;1;200402;133600;183.4400000;183.6200000;183.4400000;183.6200000;19780
GAZP;1;200402;133700;183.6200000;183.6300000;183.4600000;183.4900000;126960
GAZP;1;200402;133800;183.4600000;183.6000000;183.4300000;183.5000000;46130
GAZP;1;200402;133900;183.5000000;183.5800000;183.4300000;183.5600000;17720
GAZP;1;200402;134000;183.5600000;183.7000000;183.5300000;183.6900000;41550
GAZP;1;200402;134100;183.6900000;183.6900000;183.5900000;183.6400000;23020
GAZP;1;200402;134200;183.6100000;183.6700000;183.5000000;183.5600000;31690
GAZP;1;200402;134300;183.5600000;183.5600000;183.3600000;183.4400000;31090
GAZP;1;200402;134400;183.4000000;183.5100000;183.3700000;183.5100000;136200
GAZP;1;200402;134500;183.4800000;183.5900000;183.4100000;183.4100000;111770
GAZP;1;200402;134600;183.4800000;183.5000000;183.3400000;183.3700000;59820
GAZP;1;200402;134700;183.3400000;183.3400000;183.2700000;183.3200000;14160
GAZP;1;200402;134800;183.3300000;183.4000000;183.3300000;183.3700000;16360
GAZP;1;200402;134900;183.3500000;183.4500000;183.3500000;183.4100000;31410
GAZP;1;200402;135000;183.4000000;183.4500000;183.3500000;183.3900000;16700
GAZP;1;200402;135100;183.4200000;183.4700000;183.2500000;183.2900000;33030
GAZP;1;200402;135200;183.2600000;183.4000000;183.2000000;183.2900000;28580
GAZP;1;200402;135300;183.3700000;183.4200000;183.2700000;183.2700000;16530
GAZP;1;200402;135400;183.2700000;183.2800000;183.2000000;183.2500000;26430
