<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190627,180000,233.7000000,233.8000000,233.6100000,233.7600000,409390
GAZP,15,20190627,181500,233.7400000,233.7800000,233.3400000,233.5000000,694620
GAZP,15,20190627,183000,233.5000000,233.5000000,232.9700000,233.2900000,1047540
GAZP,15,20190627,184500,233.2800000,233.3000000,232.7100000,232.7600000,882500
GAZP,15,20190627,190000,232.6000000,232.6000000,232.6000000,232.6000000,1055170
GAZP,15,20190628,101500,233.2100000,233.4000000,232.7800000,232.9300000,1295020
GAZP,15,20190628,103000,232.9300000,233.3700000,232.9200000,233.2500000,612870
GAZP,15,20190628,104500,233.2500000,234.4600000,233.1700000,234.4200000,2074770
GAZP,15,20190628,110000,234.4600000,234.8700000,234.1200000,234.4300000,1263040
GAZP,15,20190628,111500,234.4300000,234.4800000,233.7900000,234.0700000,547520
GAZP,15,20190628,113000,234.0800000,234.6500000,233.9200000,234.5200000,718310
GAZP,15,20190628,114500,234.4900000,234.6800000,234.2400000,234.6200000,540060
GAZP,15,20190628,120000,234.5400000,234.7500000,234.2000000,234.4800000,421120
GAZP,15,20190628,121500,234.5100000,235.0000000,234.3200000,234.5200000,1050410
GAZP,15,20190628,123000,234.5500000,235.2900000,234.5000000,235.0400000,1375170
GAZP,15,20190628,124500,235.0900000,235.4700000,235.0300000,235.3800000,1956090
GAZP,15,20190628,130000,235.3800000,235.4100000,234.9000000,235.0400000,881700
GAZP,15,20190628,131500,235.0400000,235.2000000,235.0100000,235.1400000,225020
GAZP,15,20190628,133000,235.1300000,235.2800000,235.0100000,235.1000000,764530
GAZP,15,20190628,134500,235.0900000,235.2300000,235.0600000,235.1200000,237350
GAZP,15,20190628,140000,235.1400000,235.1900000,234.4000000,234.5500000,832840
GAZP,15,20190628,141500,234.6100000,234.9000000,234.5100000,234.7000000,657910
GAZP,15,20190628,143000,234.7000000,234.7000000,233.8100000,233.9000000,1109460
GAZP,15,20190628,144500,233.9000000,234.2400000,233.5800000,233.9800000,989330
GAZP,15,20190628,150000,233.9800000,234.0000000,233.1000000,233.3100000,2389470
GAZP,15,20190628,151500,233.3000000,233.3100000,232.3500000,233.1500000,3551900
GAZP,15,20190628,153000,233.1500000,233.1500000,232.6000000,232.8800000,1657540
GAZP,15,20190628,154500,232.8800000,233.2500000,232.7800000,233.2500000,804880
GAZP,15,20190628,160000,233.2400000,233.2400000,232.7900000,233.0900000,689310
GAZP,15,20190628,161500,233.0800000,233.3300000,232.9000000,233.1800000,886840
GAZP,15,20190628,163000,233.1000000,233.2500000,232.9000000,233.0500000,504500
GAZP,15,20190628,164500,233.0400000,233.3500000,232.9500000,233.0800000,770250
GAZP,15,20190628,170000,233.0100000,233.2500000,233.0000000,233.1500000,999370
